reaction_handle,catalyst_id,imine_id,thiol_id,product_id,selectivity_ee_percent,selectivity_ddGact_kcal\,Avg ee R,Avg ee S,React hndl,Plt 1: R ee,Plt 1:  S ee,Plate 2: R ee,Plt 2: R ee,Plt 3: R ee,Plt 3: S ee,Diff of avg.
144_i_1_E,144_i,1,E,1_E,88,1.630075694,94,6,144_i_1_E,95,6,94,7,94,6,88
144_i_2_A,144_i,2,A,2_A,84,1.446905122,92,8,144_i_2_A,94,6,90,10,92,8,84
144_i_2_B,144_i,2,B,2_B,72,1.075421434,86,14,144_i_2_B,86,14,86,14,86,14,72
144_i_2_C,144_i,2,C,2_C,60,0.82127412,80,20,144_i_2_C,81,19,79,21,80,20,60
144_i_2_D,144_i,2,D,2_D,82,1.370652975,91,9,144_i_2_D,92,8,90,10,91,9,82
144_i_2_E,144_i,2,E,2_E,84,1.446905122,92,8,144_i_2_E,91,9,93,7,92,8,84
144_i_3_A,144_i,3,A,3_A,78,1.238605308,89,11,144_i_3_A,89,11,89,11,89,11,78
144_i_3_B,144_i,3,B,3_B,60,0.82127412,80,20,144_i_3_B,81,19,79,21,80,20,60
144_i_3_C,144_i,3,C,3_C,64,0.898320721,82,18,144_i_3_C,81,19,83,17,82,18,64
144_i_3_D,144_i,3,D,3_D,86,1.532416977,93,7,144_i_3_D,94,6,92,8,93,7,86
144_i_3_E,144_i,3,E,3_E,88,1.630075694,94,6,144_i_3_E,92,8,96,4,94,6,88
144_i_4_A,144_i,4,A,4_A,90,1.744356465,95,5,144_i_4_A,94,6,96,4,95,5,90
144_i_4_B,144_i,4,B,4_B,62,0.859020901,81,19,144_i_4_B,82,19,81,20,81,19,62
144_i_4_C,144_i,4,C,4_C,70,1.027619382,85,15,144_i_4_C,86,15,85,16,85,15,70
144_i_4_D,144_i,4,D,4_D,82,1.370652975,91,9,144_i_4_D,89,11,93,7,91,9,82
144_i_4_E,144_i,4,E,4_E,84,1.446905122,92,8,144_i_4_E,90,10,94,6,92,8,84
144_i_5_A,144_i,5,A,5_A,88,1.630075694,94,6,144_i_5_A,95,5,93,7,94,6,88
144_i_5_B,144_i,5,B,5_B,60,0.82127412,80,20,144_i_5_B,81,20,80,21,80,20,60
144_i_5_C,144_i,5,C,5_C,64,0.898320721,82,18,144_i_5_C,84,16,80,20,82,18,64
144_i_5_D,144_i,5,D,5_D,84,1.446905122,92,8,144_i_5_D,93,7,91,9,92,8,84
144_i_5_E,144_i,5,E,5_E,86,1.532416977,93,7,144_i_5_E,94,6,92,8,93,7,86
145_i_1_A,145_i,1,A,1_A,90,1.744970984,95,5,145_i_1_A,94,6,96,4,95,5,90
145_i_1_B,145_i,1,B,1_B,78,1.239041656,89,11,145_i_1_B,90,10,88,12,89,11,78
145_i_1_C,145_i,1,C,1_C,70,1.027981402,85,15,145_i_1_C,83,17,87,13,85,15,70
145_i_1_D,145_i,1,D,1_D,94,2.060049943,97,3,145_i_1_D,96,4,98,2,97,3,94
145_i_1_E,145_i,1,E,1_E,94,2.060049943,97,3,145_i_1_E,98,3,97,4,97,3,94
145_i_2_A,145_i,2,A,2_A,86,1.532956832,93,7,145_i_2_A,94,7,93,8,93,7,86
145_i_2_B,145_i,2,B,2_B,76,1.180779378,88,12,145_i_2_B,86,14,90,10,88,12,76
145_i_2_C,145_i,2,C,2_C,84,1.447414852,92,8,145_i_2_C,90,10,94,6,92,8,84
145_i_2_D,145_i,2,D,2_D,96,2.306420185,98,2,145_i_2_D,99,1,97,3,98,2,96
145_i_2_E,145_i,2,E,2_E,88,1.630649953,94,6,145_i_2_E,95,6,94,7,94,6,88
145_i_3_A,145_i,3,A,3_A,82,1.371135842,91,9,145_i_3_A,93,7,89,11,91,9,82
145_i_3_B,145_i,3,B,3_B,60,0.821563446,80,20,145_i_3_B,81,19,79,21,80,20,60
145_i_3_C,145_i,3,C,3_C,82,1.371135842,91,9,145_i_3_C,92,9,91,10,91,9,82
145_i_3_D,145_i,3,D,3_D,84,1.447414852,92,8,145_i_3_D,93,7,91,9,92,8,84
145_i_3_E,145_i,3,E,3_E,80,1.302147255,90,10,145_i_3_E,90,10,90,10,90,10,80
145_i_4_A,145_i,4,A,4_A,90,1.744970984,95,5,145_i_4_A,93,7,97,3,95,5,90
145_i_4_B,145_i,4,B,4_B,56,0.75007535,78,22,145_i_4_B,77,23,79,21,78,22,56
145_i_4_C,145_i,4,C,4_C,72,1.075800294,86,14,145_i_4_C,87,14,86,15,86,14,72
145_i_4_D,145_i,4,D,4_D,92,1.883418797,96,4,145_i_4_D,97,4,96,5,96,4,92
145_i_4_E,145_i,4,E,4_E,94,2.060049943,97,3,145_i_4_E,95,5,99,1,97,3,94
145_i_5_A,145_i,5,A,5_A,90,1.744970984,95,5,145_i_5_A,93,7,97,3,95,5,90
145_i_5_B,145_i,5,B,5_B,70,1.027981402,85,15,145_i_5_B,86,14,84,16,85,15,70
145_i_5_C,145_i,5,C,5_C,86,1.532956832,93,7,145_i_5_C,94,7,93,8,93,7,86
145_i_5_D,145_i,5,D,5_D,92,1.883418797,96,4,145_i_5_D,98,2,94,6,96,4,92
145_i_5_E,145_i,5,E,5_E,92,1.883418797,96,4,145_i_5_E,97,3,95,5,96,4,92
147_i_1_A,147_i,1,A,1_A,99,3.136985821,99.5,0.5,147_i_1_A,100,0,99,1,100,1,99
147_i_1_B,147_i,1,B,1_B,90,1.744970984,95,5,147_i_1_B,96,4,94,6,95,5,90
147_i_1_C,147_i,1,C,1_C,92,1.883418797,96,4,147_i_1_C,96,4,96,4,96,4,92
147_i_1_D,147_i,1,D,1_D,99,3.136985821,99.5,0.5,147_i_1_D,100,1,100,1,100,1,99
147_i_1_E,147_i,1,E,1_E,99,3.136985821,99.5,0.5,147_i_1_E,100,1,100,1,100,1,99
147_i_2_A,147_i,2,A,2_A,94,2.060049943,97,3,147_i_2_A,98,2,96,4,97,3,94
147_i_2_B,147_i,2,B,2_B,86,1.532956832,93,7,147_i_2_B,94,7,93,8,93,7,86
147_i_2_C,147_i,2,C,2_C,86,1.532956832,93,7,147_i_2_C,95,5,91,9,93,7,86
147_i_2_D,147_i,2,D,2_D,90,1.744970984,95,5,147_i_2_D,96,4,94,6,95,5,90
147_i_2_E,147_i,2,E,2_E,94,2.060049943,97,3,147_i_2_E,98,3,97,4,97,3,94
147_i_3_A,147_i,3,A,3_A,99,3.136985821,99.5,0.5,147_i_3_A,100,1,100,1,100,1,99
147_i_3_B,147_i,3,B,3_B,88,1.630649953,94,6,147_i_3_B,93,7,95,5,94,6,88
147_i_3_C,147_i,3,C,3_C,90,1.744970984,95,5,147_i_3_C,96,5,95,6,95,5,90
147_i_3_D,147_i,3,D,3_D,94,2.060049943,97,3,147_i_3_D,99,1,95,5,97,3,94
147_i_3_E,147_i,3,E,3_E,96,2.306420185,98,2,147_i_3_E,99,1,97,3,98,2,96
147_i_4_A,147_i,4,A,4_A,98,2.723218536,99,1,147_i_4_A,100,1,99,2,99,1,98
147_i_4_B,147_i,4,B,4_B,80,1.302147255,90,10,147_i_4_B,91,10,90,11,90,10,80
147_i_4_C,147_i,4,C,4_C,90,1.744970984,95,5,147_i_4_C,93,7,97,3,95,5,90
147_i_4_D,147_i,4,D,4_D,99,3.136985821,99.5,0.5,147_i_4_D,98,3,100,1,100,1,99
147_i_4_E,147_i,4,E,4_E,96,2.306420185,98,2,147_i_4_E,99,1,97,3,98,2,96
147_i_5_A,147_i,5,A,5_A,96,2.306420185,98,2,147_i_5_A,99,2,98,3,98,2,96
147_i_5_B,147_i,5,B,5_B,80,1.302147255,90,10,147_i_5_B,92,8,88,12,90,10,80
147_i_5_C,147_i,5,C,5_C,90,1.744970984,95,5,147_i_5_C,96,4,94,6,95,5,90
147_i_5_D,147_i,5,D,5_D,99,3.136985821,99.5,0.5,147_i_5_D,100,1,100,1,100,1,99
147_i_5_E,147_i,5,E,5_E,96,2.306420185,98,2,147_i_5_E,97,3,99,1,98,2,96
157_i_1_A,157_i,1,A,1_A,76,1.180363548,88,12,157_i_1_A,89,11,87,13,88,12,76
157_i_1_B,157_i,1,B,1_B,52,0.682875064,76,24,157_i_1_B,74,26,78,22,76,24,52
157_i_1_C,157_i,1,C,1_C,52,0.682875064,76,24,157_i_1_C,75,25,77,23,76,24,52
157_i_1_D,157_i,1,D,1_D,82,1.370652975,91,9,157_i_1_D,92,9,91,10,91,9,82
157_i_1_E,157_i,1,E,1_E,74,1.126173688,87,13,157_i_1_E,88,13,87,14,87,13,74
157_i_2_A,157_i,2,A,2_A,82,1.370652975,91,9,157_i_2_A,89,11,93,7,91,9,82
157_i_2_B,157_i,2,B,2_B,36,0.446552544,68,32,157_i_2_B,66,34,70,30,68,32,36
157_i_2_C,157_i,2,C,2_C,36,0.446552544,68,32,157_i_2_C,69,31,67,33,68,32,36
157_i_2_D,157_i,2,D,2_D,82,1.370652975,91,9,157_i_2_D,92,9,91,10,91,9,82
157_i_2_E,157_i,2,E,2_E,80,1.301688683,90,10,157_i_2_E,92,8,88,12,90,10,80
157_i_3_A,157_i,3,A,3_A,82,1.370652975,91,9,157_i_3_A,92,8,90,10,91,9,82
157_i_3_B,157_i,3,B,3_B,32,0.392951447,66,34,157_i_3_B,67,34,66,35,66,34,32
157_i_3_C,157_i,3,C,3_C,42,0.530447043,71,29,157_i_3_C,72,28,70,30,71,29,42
157_i_3_D,157_i,3,D,3_D,80,1.301688683,90,10,157_i_3_D,90,10,90,10,90,10,80
157_i_3_E,157_i,3,E,3_E,74,1.126173688,87,13,157_i_3_E,85,15,89,11,87,13,74
157_i_4_A,157_i,4,A,4_A,80,1.301688683,90,10,157_i_4_A,89,11,91,9,90,10,80
157_i_4_B,157_i,4,B,4_B,34,0.41954586,67,33,157_i_4_B,68,33,67,34,67,33,34
157_i_4_C,157_i,4,C,4_C,44,0.559521771,72,28,157_i_4_C,73,28,72,29,72,28,44
157_i_4_D,157_i,4,D,4_D,76,1.180363548,88,12,157_i_4_D,86,14,90,10,88,12,76
157_i_4_E,157_i,4,E,4_E,74,1.126173688,87,13,157_i_4_E,85,15,89,11,87,13,74
157_i_5_A,157_i,5,A,5_A,72,1.075421434,86,14,157_i_5_A,87,13,85,15,86,14,72
157_i_5_B,157_i,5,B,5_B,26,0.31529804,63,37,157_i_5_B,64,37,63,38,63,37,26
157_i_5_C,157_i,5,C,5_C,42,0.530447043,71,29,157_i_5_C,73,27,69,31,71,29,42
157_i_5_D,157_i,5,D,5_D,72,1.075421434,86,14,157_i_5_D,87,14,86,15,86,14,72
157_i_5_E,157_i,5,E,5_E,72,1.075421434,86,14,157_i_5_E,84,16,88,12,86,14,72
166_i_1_A,166_i,1,A,1_A,99,3.136985821,99.5,0.5,166_i_1_A,100,1,100,1,100,1,99
166_i_1_B,166_i,1,B,1_B,92,1.883418797,96,4,166_i_1_B,97,3,95,5,96,4,92
166_i_1_C,166_i,1,C,1_C,86,1.532956832,93,7,166_i_1_C,94,7,93,8,93,7,86
166_i_1_D,166_i,1,D,1_D,94,2.060049943,97,3,166_i_1_D,99,1,95,5,97,3,94
166_i_1_E,166_i,1,E,1_E,96,2.30642018,98,2,166_i_1_E,99,1,97,3,98,2,96
166_i_2_A,166_i,2,A,2_A,99,3.136985821,99.5,0.5,166_i_2_A,100,1,100,1,100,1,99
166_i_2_B,166_i,2,B,2_B,86,1.532956832,93,7,166_i_2_B,92,8,94,6,93,7,86
166_i_2_C,166_i,2,C,2_C,96,2.306420185,98,2,166_i_2_C,99,1,97,3,98,2,96
166_i_2_D,166_i,2,D,2_D,99,3.136985821,99.5,0.5,166_i_2_D,100,1,100,1,100,1,99
166_i_2_E,166_i,2,E,2_E,94,2.306420185,97,3,166_i_2_E,96,4,98,2,97,3,94
166_i_3_A,166_i,3,A,3_A,94,2.060049943,97,3,166_i_3_A,98,3,97,4,97,3,94
166_i_3_B,166_i,3,B,3_B,88,1.630649953,94,6,166_i_3_B,95,6,94,7,94,6,88
166_i_3_C,166_i,3,C,3_C,90,1.744970984,95,5,166_i_3_C,93,7,97,3,95,5,90
166_i_3_D,166_i,3,D,3_D,99,3.136985821,99.5,0.5,166_i_3_D,100,1,100,1,100,1,99
166_i_3_E,166_i,3,E,3_E,99,3.136985821,99.5,0.5,166_i_3_E,100,1,100,1,100,1,99
166_i_4_A,166_i,4,A,4_A,99,3.136985821,99.5,0.5,166_i_4_A,100,0,99,1,100,1,99
166_i_4_B,166_i,4,B,4_B,80,1.302147255,90,10,166_i_4_B,92,8,88,12,90,10,80
166_i_4_C,166_i,4,C,4_C,90,1.744970984,95,5,166_i_4_C,96,4,94,6,95,5,90
166_i_4_D,166_i,4,D,4_D,99,3.136985821,99.5,0.5,166_i_4_D,100,0,99,1,100,1,99
166_i_4_E,166_i,4,E,4_E,99,3.136985821,99.5,0.5,166_i_4_E,100,1,100,1,100,1,99
166_i_5_A,166_i,5,A,5_A,99,3.136985821,99.5,0.5,166_i_5_A,100,1,100,1,100,1,99
166_i_5_B,166_i,5,B,5_B,76,1.44741485,88,12,166_i_5_B,86,14,90,10,88,12,76
166_i_5_C,166_i,5,C,5_C,94,2.060049943,97,3,166_i_5_C,96,4,98,2,97,3,94
166_i_5_D,166_i,5,D,5_D,99,3.136985821,99.5,0.5,166_i_5_D,100,0,99,1,100,1,99
166_i_5_E,166_i,5,E,5_E,99,3.136985821,99.5,0.5,166_i_5_E,100,0,99,1,100,1,99
181_i_1_A,181_i,1,A,1_A,68,0.982374193,84,16,181_i_1_A,82,18,86,14,84,16,68
181_i_1_B,181_i,1,B,1_B,46,0.589238334,73,27,181_i_1_B,71,29,75,25,73,27,46
181_i_1_C,181_i,1,C,1_C,44,0.559521771,72,28,181_i_1_C,73,27,71,29,72,28,44
181_i_1_D,181_i,1,D,1_D,76,1.180363548,88,12,181_i_1_D,89,12,88,13,88,12,76
181_i_1_E,181_i,1,E,1_E,72,1.075421434,86,14,181_i_1_E,88,12,84,16,86,14,72
181_i_2_A,181_i,2,A,2_A,74,1.126173688,87,13,181_i_2_A,90,10,84,16,87,13,74
181_i_2_B,181_i,2,B,2_B,42,0.530447043,71,29,181_i_2_B,72,29,71,30,71,29,42
181_i_2_C,181_i,2,C,2_C,46,0.589238334,73,27,181_i_2_C,74,27,73,28,73,27,46
181_i_2_D,181_i,2,D,2_D,68,0.982374193,84,16,181_i_2_D,82,18,86,14,84,16,68
181_i_2_E,181_i,2,E,2_E,80,1.301688683,90,10,181_i_2_E,88,12,92,8,90,10,80
181_i_3_A,181_i,3,A,3_A,78,1.238605308,89,11,181_i_3_A,90,10,88,12,89,11,78
181_i_3_B,181_i,3,B,3_B,36,0.446552544,68,32,181_i_3_B,69,32,68,33,68,32,36
181_i_3_C,181_i,3,C,3_C,52,0.682875064,76,24,181_i_3_C,78,22,74,26,76,24,52
181_i_3_D,181_i,3,D,3_D,76,1.180363548,88,12,181_i_3_D,89,11,87,13,88,12,76
181_i_3_E,181_i,3,E,3_E,76,1.180363548,88,12,181_i_3_E,89,12,88,13,88,12,76
181_i_4_A,181_i,4,A,4_A,76,1.180363548,88,12,181_i_4_A,89,11,87,13,88,12,76
181_i_4_B,181_i,4,B,4_B,34,0.41954586,67,33,181_i_4_B,67,33,67,33,67,33,34
181_i_4_C,181_i,4,C,4_C,46,0.589238334,73,27,181_i_4_C,71,29,75,25,73,27,46
181_i_4_D,181_i,4,D,4_D,74,1.126173688,87,13,181_i_4_D,86,14,88,12,87,13,74
181_i_4_E,181_i,4,E,4_E,74,1.126173688,87,13,181_i_4_E,88,13,87,14,87,13,74
181_i_5_A,181_i,5,A,5_A,72,1.075421434,86,14,181_i_5_A,87,14,86,15,86,14,72
181_i_5_B,181_i,5,B,5_B,28,0.340859557,64,36,181_i_5_B,65,36,64,37,64,36,28
181_i_5_C,181_i,5,C,5_C,40,0.50195963,70,30,181_i_5_C,71,30,70,31,70,30,40
181_i_5_D,181_i,5,D,5_D,72,1.075421434,86,14,181_i_5_D,84,16,88,12,86,14,72
181_i_5_E,181_i,5,E,5_E,76,1.180363548,88,12,181_i_5_E,86,14,90,10,88,12,76
182_i_1_A,182_i,1,A,1_A,84,1.446905122,92,8,182_i_1_A,93,7,91,9,92,8,84
182_i_1_B,182_i,1,B,1_B,40,0.50195963,70,30,182_i_1_B,71,30,70,31,70,30,40
182_i_1_C,182_i,1,C,1_C,42,0.530447043,71,29,182_i_1_C,73,27,69,31,71,29,42
182_i_1_D,182_i,1,D,1_D,80,1.301688683,90,10,182_i_1_D,91,9,89,11,90,10,80
182_i_1_E,182_i,1,E,1_E,80,1.301688683,90,10,182_i_1_E,91,10,90,11,90,10,80
182_i_2_A,182_i,2,A,2_A,84,1.446905122,92,8,182_i_2_A,93,7,91,9,92,8,84
182_i_2_B,182_i,2,B,2_B,56,0.749811199,78,22,182_i_2_B,80,20,76,24,78,22,56
182_i_2_C,182_i,2,C,2_C,60,0.82127412,80,20,182_i_2_C,81,19,79,21,80,20,60
182_i_2_D,182_i,2,D,2_D,82,1.370652975,91,9,182_i_2_D,92,9,91,10,91,9,82
182_i_2_E,182_i,2,E,2_E,86,1.532416977,93,7,182_i_2_E,94,6,92,8,93,7,86
182_i_3_A,182_i,3,A,3_A,86,1.532416977,93,7,182_i_3_A,93,7,93,7,93,7,86
182_i_3_B,182_i,3,B,3_B,60,0.82127412,80,20,182_i_3_B,78,22,82,18,80,20,60
182_i_3_C,182_i,3,C,3_C,62,0.859020901,81,19,182_i_3_C,80,20,82,18,81,19,62
182_i_3_D,182_i,3,D,3_D,84,1.446905122,92,8,182_i_3_D,93,8,92,9,92,8,84
182_i_3_E,182_i,3,E,3_E,80,1.301688683,90,10,182_i_3_E,91,10,90,11,90,10,80
182_i_4_A,182_i,4,A,4_A,84,1.446905122,92,8,182_i_4_A,93,8,92,9,92,8,84
182_i_4_B,182_i,4,B,4_B,36,0.446552544,68,32,182_i_4_B,69,32,68,33,68,32,36
182_i_4_C,182_i,4,C,4_C,60,0.82127412,80,20,182_i_4_C,78,22,82,18,80,20,60
182_i_4_D,182_i,4,D,4_D,82,1.370652975,91,9,182_i_4_D,89,11,93,7,91,9,82
182_i_4_E,182_i,4,E,4_E,84,1.446905122,92,8,182_i_4_E,93,7,91,9,92,8,84
182_i_5_A,182_i,5,A,5_A,78,1.238605308,89,11,182_i_5_A,91,9,87,13,89,11,78
182_i_5_B,182_i,5,B,5_B,48,0.619656928,74,26,182_i_5_B,75,25,73,27,74,26,48
182_i_5_C,182_i,5,C,5_C,54,0.715832618,77,23,182_i_5_C,78,23,77,24,77,23,54
182_i_5_D,182_i,5,D,5_D,82,1.370652975,91,9,182_i_5_D,92,8,90,10,91,9,82
182_i_5_E,182_i,5,E,5_E,82,1.370652975,91,9,182_i_5_E,91,9,91,9,91,9,82
202_i_1_A,202_i,1,A,1_A,32,0.393089879,66,34,202_i_1_A,64,36,68,32,66,34,32
202_i_1_B,202_i,1,B,1_B,-12,-0.142920534,44,56,202_i_1_B,43,57,45,55,44,56,-12
202_i_1_C,202_i,1,C,1_C,-12,-0.142920534,44,56,202_i_1_C,45,56,44,57,44,56,-12
202_i_1_D,202_i,1,D,1_D,30,0.366862912,65,35,202_i_1_D,66,35,65,36,65,35,30
202_i_1_E,202_i,1,E,1_E,20,0.240291904,60,40,202_i_1_E,61,40,60,41,60,40,20
202_i_2_A,202_i,2,A,2_A,40,0.502136465,70,30,202_i_2_A,71,29,69,31,70,30,40
202_i_2_B,202_i,2,B,2_B,-22,-0.265091872,39,61,202_i_2_B,41,59,37,63,39,61,-22
202_i_2_C,202_i,2,C,2_C,-10,-0.118924027,45,55,202_i_2_C,46,54,44,56,45,55,-10
202_i_2_D,202_i,2,D,2_D,22,0.265091872,61,39,202_i_2_D,62,39,61,40,61,39,22
202_i_2_E,202_i,2,E,2_E,24,0.290122313,62,38,202_i_2_E,63,37,61,39,62,38,24
202_i_3_A,202_i,3,A,3_A,14,0.167034225,57,43,202_i_3_A,57,43,57,43,57,43,14
202_i_3_B,202_i,3,B,3_B,-16,-0.191286085,42,58,202_i_3_B,40,60,44,56,42,58,-16
202_i_3_C,202_i,3,C,3_C,56,0.75007535,78,22,202_i_3_C,77,23,79,21,78,22,56
202_i_3_D,202_i,3,D,3_D,20,0.240291904,60,40,202_i_3_D,61,40,60,41,60,40,20
202_i_3_E,202_i,3,E,3_E,16,0.191286085,58,42,202_i_3_E,59,42,58,43,58,42,16
202_i_4_A,202_i,4,A,4_A,42,0.530633915,71,29,202_i_4_A,72,29,71,30,71,29,42
202_i_4_B,202_i,4,B,4_B,-20,-0.240291904,40,60,202_i_4_B,38,62,42,58,40,60,-20
202_i_4_C,202_i,4,C,4_C,2,0.023708472,51,49,202_i_4_C,49,51,53,47,51,49,2
202_i_4_D,202_i,4,D,4_D,16,0.191286085,58,42,202_i_4_D,59,41,57,43,58,42,16
202_i_4_E,202_i,4,E,4_E,14,0.167034225,57,43,202_i_4_E,59,41,55,45,57,43,14
202_i_5_A,202_i,5,A,5_A,30,0.366862912,65,35,202_i_5_A,66,34,64,36,65,35,30
202_i_5_B,202_i,5,B,5_B,-34,-0.419693662,33,67,202_i_5_B,35,65,31,69,33,67,-34
202_i_5_C,202_i,5,C,5_C,-20,-0.240291904,40,60,202_i_5_C,41,59,39,61,40,60,-20
202_i_5_D,202_i,5,D,5_D,36,0.44670986,68,32,202_i_5_D,69,32,68,33,68,32,36
202_i_5_E,202_i,5,E,5_E,18,0.215697804,59,41,202_i_5_E,60,40,58,42,59,41,18
205_i_1_A,205_i,1,A,1_A,44,0.559718885,72,28,205_i_1_A,72,28,72,28,72,28,44
205_i_1_B,205_i,1,B,1_B,-30,-0.366862912,35,65,205_i_1_B,33,67,37,63,35,65,-30
205_i_1_C,205_i,1,C,1_C,-10,-0.118924027,45,55,205_i_1_C,44,56,46,54,45,55,-10
205_i_1_D,205_i,1,D,1_D,44,0.559718885,72,28,205_i_1_D,73,28,72,29,72,28,44
205_i_1_E,205_i,1,E,1_E,28,0.340979638,64,36,205_i_1_E,65,36,64,37,64,36,28
205_i_2_A,205_i,2,A,2_A,52,0.683115634,76,24,205_i_2_A,77,24,76,25,76,24,52
205_i_2_B,205_i,2,B,2_B,-20,-0.240291904,40,60,205_i_2_B,41,60,40,61,40,60,-20
205_i_2_C,205_i,2,C,2_C,-6,-0.071201455,47,53,205_i_2_C,45,55,49,51,47,53,-6
205_i_2_D,205_i,2,D,2_D,30,0.366862912,65,35,205_i_2_D,63,37,67,33,65,35,30
205_i_2_E,205_i,2,E,2_E,44,0.559718885,72,28,205_i_2_E,71,29,73,27,72,28,44
205_i_3_A,205_i,3,A,3_A,50,0.651073627,75,25,205_i_3_A,76,25,75,26,75,25,50
205_i_3_B,205_i,3,B,3_B,-24,-0.290122313,38,62,205_i_3_B,39,62,38,63,38,62,-24
205_i_3_C,205_i,3,C,3_C,-18,-0.215697804,41,59,205_i_3_C,42,59,41,60,41,59,-18
205_i_3_D,205_i,3,D,3_D,50,0.651073627,75,25,205_i_3_D,76,25,75,26,75,25,50
205_i_3_E,205_i,3,E,3_E,42,0.530633915,71,29,205_i_3_E,69,31,73,27,71,29,42
205_i_4_A,205_i,4,A,4_A,48,0.619875227,74,26,205_i_4_A,72,28,76,24,74,26,48
205_i_4_B,205_i,4,B,4_B,-14,-0.167034225,43,57,205_i_4_B,44,57,43,58,43,57,-14
205_i_4_C,205_i,4,C,4_C,-26,-0.315409117,37,63,205_i_4_C,38,63,37,64,37,63,-26
205_i_4_D,205_i,4,D,4_D,46,0.589445917,73,27,205_i_4_D,74,27,73,28,73,27,46
205_i_4_E,205_i,4,E,4_E,22,0.265091872,61,39,205_i_4_E,62,39,61,40,61,39,22
205_i_5_A,205_i,5,A,5_A,46,0.589445917,73,27,205_i_5_A,71,29,75,25,73,27,46
205_i_5_B,205_i,5,B,5_B,-20,-0.240291904,40,60,205_i_5_B,38,62,42,58,40,60,-20
205_i_5_C,205_i,5,C,5_C,-16,-0.191286085,42,58,205_i_5_C,41,59,43,57,42,58,-16
205_i_5_D,205_i,5,D,5_D,38,0.474176905,69,31,205_i_5_D,70,31,69,32,69,31,38
205_i_5_E,205_i,5,E,5_E,48,0.619875227,74,26,205_i_5_E,75,26,74,27,74,26,48
207_i_1_A,207_i,1,A,1_A,40,0.50195963,70,30,207_i_1_A,71,30,70,31,70,30,40
