Catalyst,Imine,Thiol,Product,ee
202_i,5,B,5_B,-34
202_i,5,C,5_C,-20
202_i,5,D,5_D,36
202_i,5,E,5_E,18
2OEt5Me,1,A,1_A,90
2OEt5Me,1,B,1_B,56
2OEt5Me,1,C,1_C,62
2OEt5Me,1,D,1_D,74
2OEt5Me,1,E,1_E,92
2OEt5Me,2,A,2_A,82
2OEt5Me,2,B,2_B,62
2OEt5Me,2,C,2_C,84
2OEt5Me,2,D,2_D,80
2OEt5Me,2,E,2_E,78
2OEt5Me,3,A,3_A,86
2OEt5Me,3,B,3_B,60
2OEt5Me,3,C,3_C,90
2OEt5Me,3,D,3_D,90
2OEt5Me,3,E,3_E,94
2OEt5Me,4,A,4_A,84
2OEt5Me,4,B,4_B,54
2OEt5Me,4,C,4_C,68
2OEt5Me,4,D,4_D,80
2OEt5Me,4,E,4_E,72
2OEt5Me,5,A,5_A,88
2OEt5Me,5,B,5_B,76
2OEt5Me,5,C,5_C,76
2OEt5Me,5,D,5_D,74
2OEt5Me,5,E,5_E,80
166_i,1,A,1_A,98
166_i,1,B,1_B,92
166_i,1,C,1_C,86
166_i,1,D,1_D,94
166_i,1,E,1_E,96
166_i,2,A,2_A,98
166_i,2,B,2_B,86
166_i,2,C,2_C,96
166_i,2,D,2_D,98
166_i,2,E,2_E,92
166_i,3,A,3_A,94
166_i,3,B,3_B,88
166_i,3,C,3_C,90
166_i,3,D,3_D,98
166_i,3,E,3_E,98
166_i,4,A,4_A,98
166_i,4,B,4_B,80
166_i,4,C,4_C,90
166_i,4,D,4_D,98
166_i,4,E,4_E,98
166_i,5,A,5_A,98
166_i,5,B,5_B,76
166_i,5,C,5_C,94
166_i,5,D,5_D,98
166_i,5,E,5_E,98
246Ph,1,A,1_A,98
246Ph,1,B,1_B,88
246Ph,1,C,1_C,88
246Ph,1,D,1_D,94
246Ph,1,E,1_E,94
246Ph,2,A,2_A,94
246Ph,2,B,2_B,86
246Ph,2,C,2_C,96
246Ph,2,D,2_D,96
246Ph,2,E,2_E,96
246Ph,3,A,3_A,98
246Ph,3,B,3_B,90
246Ph,3,C,3_C,90
246Ph,3,D,3_D,98
246Ph,3,E,3_E,98
246Ph,4,A,4_A,98
246Ph,4,B,4_B,80
246Ph,4,C,4_C,84
246Ph,4,D,4_D,98
246Ph,4,E,4_E,94
246Ph,5,A,5_A,98
246Ph,5,B,5_B,72
246Ph,5,C,5_C,90
246Ph,5,D,5_D,96
246Ph,5,E,5_E,98
4tol,1,A,1_A,78
4tol,1,B,1_B,50
4tol,1,C,1_C,60
4tol,1,D,1_D,80
4tol,1,E,1_E,84
4tol,2,A,2_A,68
4tol,2,B,2_B,40
4tol,2,C,2_C,60
4tol,2,D,2_D,74
4tol,2,E,2_E,80
4tol,3,A,3_A,74
4tol,3,B,3_B,68
4tol,3,C,3_C,72
4tol,3,D,3_D,74
4tol,3,E,3_E,74
4tol,4,A,4_A,84
4tol,4,B,4_B,20
4tol,4,C,4_C,44
4tol,4,D,4_D,62
4tol,4,E,4_E,74
4tol,5,A,5_A,76
4tol,5,B,5_B,50
4tol,5,C,5_C,58
4tol,5,D,5_D,80
4tol,5,E,5_E,70
7_i,1,A,1_A,74
7_i,1,B,1_B,44
7_i,1,C,1_C,72
7_i,1,D,1_D,84
7_i,1,E,1_E,86
7_i,2,A,2_A,90
7_i,2,B,2_B,50
7_i,2,C,2_C,74
7_i,2,D,2_D,96
7_i,2,E,2_E,98
7_i,3,A,3_A,74
7_i,3,B,3_B,14
7_i,3,C,3_C,56
7_i,3,D,3_D,78
7_i,3,E,3_E,82
7_i,4,A,4_A,90
7_i,4,B,4_B,50
7_i,4,C,4_C,90
7_i,4,D,4_D,96
7_i,4,E,4_E,98
7_i,5,A,5_A,90
7_i,5,B,5_B,36
7_i,5,C,5_C,60
7_i,5,D,5_D,84
7_i,5,E,5_E,96
